Postcode_District,affordability
FK9,Can buy can rent
FY1,Can buy can rent
FY2,Can buy can rent
FY3,Can buy can rent
FY4,Can buy can rent
FY5,Can buy can rent
FY6,Can buy can rent
FY7,Can buy can rent
FY8,Can't buy can rent
G1,Can buy can rent
G11,Can buy can rent
G12,Can buy can rent
G13,Can buy can rent
G14,Can buy can rent
G2,Can buy can rent
G20,Can buy can rent
G21,Can buy can rent
G22,Can buy can rent
G23,Can buy can rent
G3,Can buy can rent
G31,Can buy can rent
G32,Can buy can rent
G33,Can buy can rent
G4,Can buy can rent
G40,Can buy can rent
G41,Can buy can rent
G42,Can buy can rent
G43,Can buy can rent
G44,Can buy can rent
G45,Can buy can rent
G46,Can buy can rent
G5,Can buy can rent
G51,Can buy can rent
G52,Can buy can rent
G53,Can buy can rent
G61,Can't buy can rent
G62,Can buy can rent
G63,Can't buy can rent
G64,Can buy can rent
G65,Can buy can rent
G66,Can buy can rent
G67,Can buy can rent
G68,Can buy can rent
G69,Can buy can rent
G71,Can buy can rent
G72,Can buy can rent
G73,Can buy can rent
G74,Can buy can rent
G75,Can buy can rent
G76,Can buy can rent
G77,Can't buy can rent
G78,Can buy can rent
G81,Can buy can rent
G82,Can buy can rent
G83,Can buy can rent
G84,Can buy can rent
GL1,Can buy can rent
GL10,Can't buy can rent
GL11,Can't buy can rent
GL12,Can't buy can rent
GL13,Can't buy can rent
GL14,Can't buy can rent
GL15,Can't buy can rent
GL16,Can't buy can rent
GL17,Can't buy can rent
GL18,Can't buy can rent
GL19,Can't buy can't rent
GL2,Can't buy can rent
GL20,Can't buy can rent
GL3,Can't buy can rent
GL4,Can't buy can rent
GL5,Can't buy can rent
GL50,Can't buy can rent
GL51,Can't buy can rent
GL52,Can't buy can rent
GL53,Can't buy can rent
GL54,Can't buy can't rent
GL55,Can't buy can't rent
GL56,Can't buy can rent
GL6,Can't buy can rent
GL7,Can't buy can rent
GL8,Can't buy can't rent
GL9,Can't buy can rent
GU1,Can't buy can rent
GU10,Can't buy can rent
GU11,Can buy can rent
GU12,Can't buy can rent
GU14,Can't buy can rent
GU15,Can't buy can rent
GU16,Can't buy can rent
GU17,Can't buy can rent
GU18,Can't buy can rent
GU19,Can't buy can rent
GU2,Can't buy can't rent
GU20,Can't buy can't rent
GU21,Can't buy can rent
GU22,Can't buy can rent
GU23,Can't buy can't rent
GU24,Can't buy can't rent
GU25,Can't buy can't rent
GU26,Can't buy can rent
GU27,Can't buy can rent
GU28,Can't buy can't rent
GU29,Can't buy can rent
GU3,Can't buy can't rent
GU30,Can't buy can rent
GU31,Can't buy can rent
GU32,Can't buy can rent
GU33,Can't buy can rent
GU34,Can't buy can rent
GU35,Can't buy can rent
GU4,Can't buy can rent
GU46,Can't buy can rent
GU47,Can't buy can rent
GU5,Can't buy can't rent
GU51,Can't buy can rent
GU52,Can't buy can rent
GU6,Can't buy can rent
GU7,Can't buy can rent
GU8,Can't buy can't rent
GU9,Can't buy can rent
HA0,Can't buy can rent
HA1,Can't buy can rent
HA2,Can't buy can rent
HA3,Can't buy can rent
HA4,Can't buy can rent
HA5,Can't buy can't rent
HA6,Can't buy can't rent
HA7,Can't buy can't rent
HA8,Can't buy can rent
HA9,Can't buy can't rent
HD1,Can buy can rent
HD2,Can buy can rent
HD3,Can buy can rent
HD4,Can buy can rent
HD5,Can buy can rent
HD6,Can buy can rent
HD7,Can buy can rent
HD8,Can't buy can rent
