Postcode_District,affordability
WD17,Can't buy can rent
WD18,Can't buy can rent
WD19,Can't buy can't rent
WD23,Can't buy can't rent
WD24,Can't buy can rent
WD25,Can't buy can't rent
WD3,Can't buy can't rent
WD4,Can't buy can rent
WD5,Can't buy can rent
WD6,Can't buy can't rent
WD7,Can't buy can't rent
WF1,Can buy can rent
WF10,Can buy can rent
WF11,Can buy can rent
WF12,Can buy can rent
WF13,Can buy can rent
WF14,Can buy can rent
WF15,Can buy can rent
WF16,Can buy can rent
WF17,Can buy can rent
WF2,Can buy can rent
WF3,Can buy can rent
WF4,Can buy can rent
WF5,Can buy can rent
WF6,Can buy can rent
WF7,Can buy can rent
WF8,Can buy can rent
WF9,Can buy can rent
WN1,Can buy can rent
WN2,Can buy can rent
WN3,Can buy can rent
WN4,Can buy can rent
WN5,Can buy can rent
WN6,Can buy can rent
WN7,Can buy can rent
WN8,Can buy can rent
WR1,Can buy can rent
WR10,Can't buy can rent
WR11,Can't buy can rent
WR12,Can't buy can rent
WR13,Can't buy can rent
WR14,Can't buy can rent
WR15,Can't buy can rent
WR2,Can't buy can rent
WR3,Can't buy can rent
WR4,Can buy can rent
WR5,Can't buy can rent
WR6,Can't buy can rent
WR7,Can't buy can rent
WR8,Can't buy can rent
WR9,Can't buy can rent
WS1,Can buy can rent
WS10,Can buy can rent
WS11,Can buy can rent
WS12,Can buy can rent
WS13,Can't buy can rent
WS14,Can't buy can rent
WS15,Can't buy can rent
WS2,Can buy can rent
WS3,Can buy can rent
WS4,Can buy can rent
WS5,Can't buy can rent
WS6,Can buy can rent
WS7,Can buy can rent
WS8,Can buy can rent
WS9,Can't buy can rent
WV1,Can buy can rent
WV10,Can buy can rent
WV11,Can buy can rent
WV12,Can buy can rent
WV13,Can buy can rent
WV14,Can buy can rent
WV15,Can't buy can rent
WV16,Can't buy can rent
WV2,Can buy can rent
WV3,Can't buy can rent
WV4,Can buy can rent
WV5,Can't buy can rent
WV6,Can't buy can rent
WV7,Can't buy can rent
WV8,Can't buy can rent
WV9,Can buy can rent
YO1,Can't buy can rent
YO10,Can't buy can't rent
YO11,Can buy can rent
YO12,Can't buy can't rent
YO13,Can't buy can't rent
YO14,Can't buy can't rent
YO15,Can't buy can rent
YO16,Can't buy can rent
YO17,Can't buy can't rent
YO18,Can't buy can't rent
YO19,Can't buy can't rent
YO21,Can't buy can't rent
YO22,Can't buy can't rent
YO23,Can't buy can't rent
YO24,Can't buy can't rent
YO25,Can't buy can't rent
YO26,Can't buy can't rent
YO30,Can't buy can't rent
YO31,Can't buy can't rent
YO32,Can't buy can't rent
YO41,Can't buy can't rent
YO42,Can't buy can't rent
YO43,Can't buy can't rent
YO51,Can't buy can't rent
YO60,Can't buy can't rent
YO61,Can't buy can't rent
YO62,Can't buy can't rent
YO7,Can't buy can't rent
YO8,Can't buy can't rent
